uin,award_name,awarded_by,award_year,award_country,award_level,award_source_url_1,award_source_url_2,award_source_url_3,award_processed_date_timestamp,award_inserted_date_timestamp,award_updated_timestamp,award_delete_flag_timestamp
AP028928,Fellow Award,,1997.0,India,National,https://www.practo.com/rajahmundry/doctor/ankala-v-subbarao-cardiologist,,,2025-04-11 11:47:51,2025-04-11 11:47:51,,
AP028930,,,,,,,,,,,,
AP029147,,,,,,,,,,,,
AP029326,,,,,,,,,,,,
AP030059,,,,,,,,,,,,
AP030318,,,,,,,,,,,,
AP030412,,,,,,,,,,,,
AP031194,,,,,,,,,,,,
AP031588,,,,,,,,,,,,
AP031634,,,,,,,,,,,,
AP031660,,,,,,,,,,,,
AP031780,,,,,,,,,,,,
AP032398,,,,,,,,,,,,
AP032612,,,,,,,,,,,,
AP032717,,,,,,,,,,,,
AP032768,,,,,,,,,,,,
AP033025,,,,,,,,,,,,
AP033260,Inspiring Diabetologist of India,Economic Times,2019.0,India,National,https://www.practo.com/vijayawada/doctor/dr-phani-kumar-rlv-diabetologist,,,2025-04-07 17:40:39,2025-04-07 17:40:39,,
AP033411,,,,,,,,,,,,
AP033676,,,,,,,,,,,,
AP033788,,,,,,,,,,,,
AP033790,,,,,,,,,,,,
AP033840,,,,,,,,,,,,
AP033906,,,,,,,,,,,,
AP034182,,,,,,,,,,,,
AP034222,,,,,,,,,,,,
AP034364,,,,,,,,,,,,
AP034609,,,,,,,,,,,,
AP034626,,,,,,,,,,,,
AP034758,,,,,,,,,,,,
AP034769,,,,,,,,,,,,
AP034816,,,,,,,,,,,,
AP034830,,,,,,,,,,,,
AP034893,,,,,,,,,,,,
AP034919,,,,,,,,,,,,
AP035064,,,,,,,,,,,,
AP035067,,,,,,,,,,,,
AP035069,,,,,,,,,,,,
AP035140,,,,,,,,,,,,
AP035587,,,,,,,,,,,,
AP035758,,,,,,,,,,,,
AP035789,,,,,,,,,,,,
AP035792,,,,,,,,,,,,
AP481064,,,,,,,,,,,,
AP481170,,,,,,,,,,,,
AP490307,APJ Kalam Medical Excellence Award,,,India,National,https://medintu.in/doctor/dr-p-naveen-kumar-consultant-general-physician/,,,2025-04-07 12:11:52,2025-04-07 12:11:52,,
AS000087,,,,,,,,,,,,
AS000090,,,,,,,,,,,,
AS000096,,,,,,,,,,,,
AS000099,,,,,,,,,,,,
AS000150,,,,,,,,,,,,
AS000167,,,,,,,,,,,,
AS000227,,,,,,,,,,,,
AS000244,,,,,,,,,,,,
AS000311,,,,,,,,,,,,
AS000338,,,,,,,,,,,,
AS000855,,,,,,,,,,,,
AS001010,,,,,,,,,,,,
AS001073,,,,,,,,,,,,
AS001076,,,,,,,,,,,,
AS001368,,,,,,,,,,,,
AS001379,,,,,,,,,,,,
AS001383,,,,,,,,,,,,
AS001730,,,,,,,,,,,,
AS001775,M Vishwanathan Award,State Conference of the Association of Physicians of India,2010.0,,National,https://www.practo.com/ranchi/doctor/kumar-pankaj-prabhat-internal-medicine,,,2025-03-21 16:41:11,2025-03-21 16:41:11,,
AS001982,,,,,,,,,,,,
AS002002,,,,,,,,,,,,
AS002003,,,,,,,,,,,,
AS002005,,,,,,,,,,,,
AS002007,,,,,,,,,,,,
AS002039,,,,,,,,,,,,
AS002237,,,,,,,,,,,,
AS002378,,,,,,,,,,,,
AS002463,,,,,,,,,,,,
AS002559,Rising Star Diabetes,,2013.0,United Kingdom,International,https://www.apollo247.com/doctors/dr-mithun-bhartia-53b9873e-97e0-4c9b-81f9-e8578a8cdd7c,,,2025-03-22 15:15:24,2025-03-22 15:15:24,,
AS002559,"The "" Rising Star"" Award",The International Symposium on Diabetes,2016.0,India,National,https://www.apollo247.com/doctors/dr-mithun-bhartia-53b9873e-97e0-4c9b-81f9-e8578a8cdd7c,,,2025-03-22 15:54:53,2025-03-22 15:54:53,,
AS002559,The Etzwiller Scholar Award,The Prestigious Mayo Clinic,2014.0,United States of America,International,https://www.apollo247.com/doctors/dr-mithun-bhartia-53b9873e-97e0-4c9b-81f9-e8578a8cdd7c,,,2025-03-22 15:45:57,2025-03-22 15:45:57,,
AS002559,The Zongniotti Newman Prize Award,,2013.0,United States of America,International,https://www.apollo247.com/doctors/dr-mithun-bhartia-53b9873e-97e0-4c9b-81f9-e8578a8cdd7c,,,2025-03-22 15:37:25,2025-03-22 15:37:25,,
AS002613,,,,,,,,,,,,
AS002650,,,,,,,,,,,,
AS002776,,,,,,,,,,,,
AS002779,,,,,,,,,,,,
AS002966,,,,,,,,,,,,
