uin,acd_institute_name,acd_institute_type,acd_department,acd_position,acd_city,acd_state,acd_country,acd_postal_code,acd_tenure_from_date,acd_tenure_to_date,acd_association_level,acd_source_url1,acd_source_url2,acd_source_url3,acd_processed_date_timestamp,acd_inserted_date_timestamp,acd_updated_timestamp,acd_delete_flag_timestamp
AP019470,Sri Venkateswara Institute of Medical Sciences,Academic,Department of Cardiology,Assistant Professor,Tirupati,Andhra Pradesh,India,517507.0,2013.0,2014.0,National,https://medintu.in/doctor/dr-b-s-praveen-kumar-cardiologist/,,,2025-03-17 18:05:37,2025-03-17 18:05:37,,
AP019603,,,,,,,,,,,,,,,,,,
AP019604,,,,,,,,,,,,,,,,,,
AP019611,,,,,,,,,,,,,,,,,,
AP019775,,,,,,,,,,,,,,,,,,
AP019791,,,,,,,,,,,,,,,,,,
AP019941,,,,,,,,,,,,,,,,,,
AP019988,,,,,,,,,,,,,,,,,,
AP019991,,,,,,,,,,,,,,,,,,
AP020080,,,,,,,,,,,,,,,,,,
AP020098,,,,,,,,,,,,,,,,,,
AP020109,,,,,,,,,,,,,,,,,,
AP020113,,,,,,,,,,,,,,,,,,
AP020229,,,,,,,,,,,,,,,,,,
AP020241,,,,,,,,,,,,,,,,,,
AP020292,,,,,,,,,,,,,,,,,,
AP020294,,,,,,,,,,,,,,,,,,
AP020304,,,,,,,,,,,,,,,,,,
AP020312,,,,,,,,,,,,,,,,,,
AP020354,,,,,,,,,,,,,,,,,,
AP020377,,,,,,,,,,,,,,,,,,
AP020383,Sri Venkateswara Institute of Medical Sciences,Academic,,Assistant Professor,Tirupati,Andhra Pradesh,India,517507.0,2013.0,2025.0,National,https://www.linkedin.com/in/venkateswararao-uppalapati-48836414,,,2025-03-26 12:58:03,2025-03-26 12:58:03,,
AP020411,,,,,,,,,,,,,,,,,,
AP020471,,,,,,,,,,,,,,,,,,
AP020478,,,,,,,,,,,,,,,,,,
AP020500,,,,,,,,,,,,,,,,,,
AP020599,,,,,,,,,,,,,,,,,,
AP020600,,,,,,,,,,,,,,,,,,
AP020618,Nizam Institute of Medical Sciences,Academic,Department of Cardiology ,Assistant Professor,Hyderabad,Telangana,India,500082.0,,,National,https://www.practo.com/hyderabad/doctor/dr-ram-chandra-cardiologist,,,2025-04-14 18:56:01,2025-04-14 18:56:01,,
AP020883,,,,,,,,,,,,,,,,,,
AP020887,,,,,,,,,,,,,,,,,,
AP020910,,,,,,,,,,,,,,,,,,
AP020912,,,,,,,,,,,,,,,,,,
AP021047,Deccan College of Medical Sciences,Academic,,Assistant Professor,Hyderabad,Telangana,India,500058.0,2014.0,2016.0,National,https://www.yashodahospitals.com/doctor/malakpet/general-medicine/dr-ranga-santhosh-kumar/,,,2025-03-24 09:51:33,2025-03-24 09:51:33,,
AP021077,,,,,,,,,,,,,,,,,,
AP021084,,,,,,,,,,,,,,,,,,
AP021168,,,,,,,,,,,,,,,,,,
AP021206,,,,,,,,,,,,,,,,,,
AP021216,,,,,,,,,,,,,,,,,,
AP021288,,,,,,,,,,,,,,,,,,
AP021310,,,,,,,,,,,,,,,,,,
AP021330,,,,,,,,,,,,,,,,,,
