client_doctor_code,campaign_start_date_(month_year),hcp_email_open_rate,hcp_whatsapp_read_rate,hcp_email_click_rate,hcp_whatsapp_click_rate,hcp_call_productive_rate,last_call_connected_date_(selected_month),average_duration_connected_calls
WB052014,2025-05-01,,0.75,,,,,
WB052016,2025-05-01,,1.0,,,,,
WB052020,2025-05-01,1.0,0.25,,,,,
WB052443,2025-05-01,1.0,1.0,,,,,
WB052783,2025-05-01,,1.0,,,,,
WB052897,2025-05-01,0.25,,,,,,
WB052981,2025-05-01,,1.0,,0.5,,,
WB052995,2025-05-01,0.75,1.0,,,,,
WB052996,2025-05-01,0.75,,,,,,
WB053104,2025-05-01,1.0,,,,,,
WB053183,2025-05-01,1.0,1.0,,,,,
WB053217,2025-05-01,0.75,1.0,,,,,
WB053222,2025-05-01,0.5,,,,,,
WB053295,2025-05-01,1.0,,,,,,
WB053298,2025-05-01,1.0,,,,,,
WB053303,2025-05-01,,0.25,,,,,
WB053438,2025-05-01,0.75,,,,,,
WB053443,2025-05-01,,1.0,,,,,
WB053449,2025-05-01,,1.0,,,,,
WB053469,2025-05-01,1.0,1.0,,,,,
WB053641,2025-05-01,0.75,1.0,,,,,
WB053642,2025-05-01,0.5,,,,,,
WB053645,2025-05-01,0.25,1.0,,,,,
WB054067,2025-05-01,,1.0,,,,,
WB054069,2025-05-01,1.0,,,,,,
WB054087,2025-05-01,0.75,1.0,,,,,
WB054088,2025-05-01,,1.0,,,,,
WB054121,2025-05-01,0.75,1.0,,,,,
WB054137,2025-05-01,,1.0,,,,,
WB054146,2025-05-01,,1.0,,,,,
WB054248,2025-05-01,,1.0,,,,,
WB054402,2025-05-01,1.0,0.25,,,,,
WB054413,2025-05-01,,1.0,,,,,
WB475311,2025-05-01,0.75,,,,,,
WB488354,2025-05-01,0.75,0.5,,,,,
WB490164,2025-05-01,,1.0,,,,,
WB490582,2025-05-01,0.75,0.25,,,,,
WB490596,2025-05-01,0.75,,,,,,
WB492017,2025-05-01,0.75,,,,,,
WB492024,2025-05-01,1.0,,,,,,
WB495672,2025-05-01,,1.0,,,,,
WB495789,2025-05-01,,1.0,,,,,
WB496661,2025-05-01,0.6666666666666666,0.75,,,,,
WB497490,2025-05-01,0.75,1.0,,,,,
WBO28759,2025-05-01,0.75,1.0,,,,,
PB007372,2025-05-01,,0.5,,,,2025-05-01 10:18:00,13.0
KL012700,2025-05-01,,,,,1.0,2025-05-01 10:23:00,60.0
TN018050,2025-05-01,,,,,,2025-05-01 10:27:00,24.0
DL008953,2025-05-01,,,,,1.0,2025-05-01 10:29:00,60.0
UK002286,2025-05-01,,1.0,,,1.0,2025-05-01 10:31:00,51.0
MH038045,2025-05-01,,,,,,2025-05-01 10:32:00,12.0
WB021516,2025-05-01,,,,,1.0,2025-05-01 10:32:00,32.0
TS017581,2025-05-01,0.75,1.0,,,1.0,2025-05-01 10:33:00,52.0
UP030931,2025-05-01,,,,,,2025-05-01 10:35:00,7.0
TS008570,2025-05-01,,,,,1.0,2025-05-01 10:36:00,54.0
TN012874,2025-05-01,,1.0,,,,2025-05-01 10:37:00,19.0
