client_doctor_code,campaign_start_date_(month_year),hcp_email_open_rate,hcp_whatsapp_read_rate,hcp_email_click_rate,hcp_whatsapp_click_rate,hcp_call_productive_rate,last_call_connected_date_(selected_month),average_duration_connected_calls
BR020186,2025-01-01,0.5,1.0,,,1.0,2025-01-09 13:29:00,51.0
WB002729,2025-01-01,0.3333333333333333,,,,1.0,2025-01-09 13:30:00,57.0
KA012118,2025-01-01,1.0,1.0,,,,2025-01-09 13:36:00,21.0
MP001830,2025-01-01,,,,,0.5,2025-01-09 13:38:00,94.0
JK001485,2025-01-01,,1.0,,,1.0,2025-01-09 13:40:00,48.0
MP011654,2025-01-01,,,,,,2025-01-09 13:40:00,8.0
WB496030,2025-01-01,,0.6,,,1.0,2025-01-09 13:40:00,202.0
UP027725,2025-01-01,,1.0,,,1.0,2025-01-09 13:41:00,69.0
KL013883,2025-01-01,,,,,0.5,2025-01-09 13:43:00,44.0
TS009020,2025-01-01,0.6666666666666666,,,,1.0,2025-01-09 13:44:00,43.0
OD015061,2025-01-01,,,,,,2025-01-09 13:45:00,17.0
TS005140,2025-01-01,0.4,,,,,2025-01-09 13:45:00,18.0
TS008839,2025-01-01,0.8333333333333334,,,,,2025-01-09 13:45:00,6.0
TS024715,2025-01-01,0.3333333333333333,,,,,2025-01-09 13:46:00,21.0
RJ014932,2025-01-01,0.16666666666666666,0.6666666666666666,,,1.0,2025-01-09 13:48:00,57.0
UP037046,2025-01-01,,,,,1.0,2025-01-09 13:48:00,73.0
HR012255,2025-01-01,0.16666666666666666,1.0,,,1.0,2025-01-09 13:50:00,106.0
KA036404,2025-01-01,0.16666666666666666,,,,1.0,2025-01-09 13:52:00,51.0
UP011952,2025-01-01,0.8,,,,0.5,2025-01-09 13:52:00,128.0
TN005123,2025-01-01,1.0,1.0,,0.25,1.0,2025-01-09 13:53:00,52.0
RJ495834,2025-01-01,1.0,0.3333333333333333,,,0.5,2025-01-09 13:54:00,43.0
TR000247,2025-01-01,,0.75,,,1.0,2025-01-09 13:54:00,111.0
DL022749,2025-01-01,,1.0,,,,2025-01-09 13:55:00,16.0
DL008313,2025-01-01,,,,,,2025-01-09 13:56:00,13.0
WB004444,2025-01-01,,1.0,,,,2025-01-09 13:56:00,6.0
RJ013416,2025-01-01,0.5,0.3333333333333333,,0.3333333333333333,0.5,2025-01-09 13:58:00,64.0
DL010294,2025-01-01,0.8333333333333334,0.3333333333333333,,,1.0,2025-01-09 13:59:00,77.0
UP034010,2025-01-01,,0.6666666666666666,,,,2025-01-09 13:59:00,21.0
DL015247,2025-01-01,0.16666666666666666,1.0,,,,2025-01-09 14:01:00,19.0
OD006585,2025-01-01,,0.6666666666666666,,,1.0,2025-01-09 14:06:00,71.0
HP002419,2025-01-01,,1.0,,,,2025-01-09 14:07:00,18.0
KA009417,2025-01-01,,0.6666666666666666,,,1.0,2025-01-09 14:08:00,79.0
JK004842,2025-01-01,,1.0,,,1.0,2025-01-09 14:10:00,30.0
TS036273,2025-01-01,,,,,,2025-01-09 14:13:00,18.0
MH050386,2025-01-01,0.4,,,,1.0,2025-01-09 14:24:00,50.0
AP020746,2025-01-01,,1.0,,,1.0,2025-01-09 14:25:00,43.0
MH037567,2025-01-01,,,,,0.2,2025-01-09 14:48:00,36.5
TN006115,2025-01-01,,1.0,,,1.0,2025-01-09 14:48:00,32.0
MP010736,2025-01-01,,,,,,2025-01-09 14:50:00,13.0
UP013121,2025-01-01,0.5,0.6666666666666666,,,1.0,2025-01-09 14:52:00,49.0
MH033795,2025-01-01,,,,,1.0,2025-01-09 14:54:00,61.0
MH074887,2025-01-01,,,,,1.0,2025-01-09 14:56:00,34.0
CH002891,2025-01-01,1.0,1.0,,,0.5,2025-01-09 15:12:00,47.0
CG004214,2025-01-01,0.5,,,,,2025-01-09 15:13:00,16.0
TN021423,2025-01-01,1.0,,,,,2025-01-09 15:15:00,9.0
TN025556,2025-01-01,1.0,1.0,,,0.5,2025-01-09 15:17:00,32.0
TN028576,2025-01-01,1.0,1.0,,,0.5,2025-01-09 15:20:00,43.0
UP032019,2025-01-01,0.3333333333333333,,,,,2025-01-09 15:20:00,22.0
AP016974,2025-01-01,,1.0,,,1.0,2025-01-09 15:21:00,60.0
TN025281,2025-01-01,,,,,,2025-01-09 15:22:00,13.0
TN008623,2025-01-01,,,,,0.3333333333333333,2025-01-09 15:26:00,31.0
AP006364,2025-01-01,,1.0,,,,2025-01-09 15:28:00,10.0
TN009062,2025-01-01,,0.3333333333333333,,,,2025-01-09 15:35:00,10.0
DL005297,2025-01-01,,,,,1.0,2025-01-09 15:36:00,166.0
TN026525,2025-01-01,,0.75,,,0.5,2025-01-09 15:38:00,143.0
WB014719,2025-01-01,,,,,0.5,2025-01-09 15:38:00,39.0
TS021079,2025-01-01,,1.0,,,,2025-01-09 15:45:00,23.0
HR003217,2025-01-01,,,,,0.3333333333333333,2025-01-09 15:50:00,39.0
