client_doctor_code,campaign_start_date_(month_year),hcp_email_open_rate,hcp_whatsapp_read_rate,hcp_email_click_rate,hcp_whatsapp_click_rate,hcp_call_productive_rate,last_call_connected_date_(selected_month),average_duration_connected_calls
KL016188,2025-02-01,1.0,1.0,,,0.5,2025-02-22 10:21:00,31.0
MH077565,2025-02-01,,,,,,2025-02-22 10:21:00,19.5
AS001730,2025-02-01,,,,,,2025-02-22 10:23:00,25.0
MP022254,2025-02-01,0.5,1.0,,,0.6666666666666666,2025-02-22 10:23:00,70.5
TN054217,2025-02-01,,1.0,,0.5,1.0,2025-02-22 10:23:00,38.5
MH088436,2025-02-01,,,,,1.0,2025-02-22 10:25:00,79.5
TN051455,2025-02-01,1.0,1.0,,,,2025-02-22 10:25:00,16.5
MH100712,2025-02-01,,1.0,,,1.0,2025-02-22 10:26:00,38.5
OD014824,2025-02-01,1.0,,,,0.5,2025-02-22 10:27:00,26.5
MH042997,2025-02-01,,,,,1.0,2025-02-22 10:31:00,36.5
TN022260,2025-02-01,0.6666666666666666,1.0,0.3333333333333333,,0.6666666666666666,2025-02-22 10:31:00,60.5
MH051174,2025-02-01,1.0,,,,0.5,2025-02-22 10:32:00,64.0
MH089856,2025-02-01,,1.0,,,0.25,2025-02-22 10:35:00,26.0
MH068316,2025-02-01,,1.0,,,,2025-02-22 10:40:00,19.5
MH042286,2025-02-01,,1.0,,,1.0,2025-02-22 10:41:00,108.5
UP083486,2025-02-01,,1.0,,0.3333333333333333,0.5,2025-02-22 10:42:00,143.0
MH101087,2025-02-01,0.6666666666666666,1.0,,,,2025-02-22 10:43:00,25.0
TN021322,2025-02-01,1.0,,,,0.5,2025-02-22 10:43:00,123.0
KL015990,2025-02-01,,0.3333333333333333,,,,2025-02-22 10:44:00,16.5
MH006537,2025-02-01,,,,,0.5,2025-02-22 10:51:00,24.5
GJ023537,2025-02-01,1.0,,,,,2025-02-22 10:53:00,9.0
HR011590,2025-02-01,,,,,0.6666666666666666,2025-02-22 10:55:00,42.666666666666664
TS488575,2025-02-01,1.0,,,,0.5,2025-02-22 10:56:00,32.0
DL026168,2025-02-01,,1.0,,,1.0,2025-02-22 10:58:00,52.0
JK001647,2025-02-01,1.0,1.0,,,0.5,2025-02-22 10:58:00,24.5
DL004654,2025-02-01,,1.0,,,0.5,2025-02-22 10:59:00,32.5
MH022300,2025-02-01,,1.0,,,0.6666666666666666,2025-02-22 11:05:00,28.333333333333332
KA008243,2025-02-01,,1.0,,,0.5,2025-02-22 11:06:00,79.0
MH034851,2025-02-01,,,,,,2025-02-22 11:11:00,7.666666666666667
UP018616,2025-02-01,0.6,0.3333333333333333,,,0.6666666666666666,2025-02-22 11:12:00,35.5
MH055437,2025-02-01,,,,,0.5,2025-02-22 11:14:00,30.0
TN026695,2025-02-01,0.75,,,,0.5,2025-02-22 11:14:00,36.0
DL010375,2025-02-01,,0.2,,0.2,,2025-02-22 11:17:00,13.0
AP011783,2025-02-01,,0.5,,,0.5,2025-02-22 11:21:00,35.0
MH007364,2025-02-01,,,,,0.5,2025-02-22 11:21:00,128.0
HR011893,2025-02-01,,,,,,2025-02-22 11:22:00,18.0
GA000585,2025-02-01,1.0,1.0,,,,2025-02-22 11:23:00,19.0
WB019797,2025-02-01,,1.0,,,,2025-02-22 11:23:00,17.5
KL013937,2025-02-01,0.4,1.0,,,0.5,2025-02-22 11:25:00,42.0
KL020193,2025-02-01,,1.0,,,,2025-02-22 11:25:00,16.833333333333332
MP013501,2025-02-01,1.0,,,,0.3333333333333333,2025-02-22 11:25:00,42.5
AP002198,2025-02-01,,,,,0.5,2025-02-22 11:26:00,41.0
DL001896,2025-02-01,1.0,1.0,,,0.3333333333333333,2025-02-22 11:26:00,26.0
UP033026,2025-02-01,0.6,,,,0.5,2025-02-22 11:28:00,34.0
TN025537,2025-02-01,,,,,0.5,2025-02-22 11:29:00,33.0
WB054087,2025-02-01,0.25,1.0,,0.5,0.5,2025-02-22 11:29:00,40.0
KA020442,2025-02-01,,0.6666666666666666,,,0.5,2025-02-22 11:31:00,32.0
CG004508,2025-02-01,0.75,0.3333333333333333,,,0.3333333333333333,2025-02-22 11:32:00,54.0
MN001564,2025-02-01,1.0,,,,0.3333333333333333,2025-02-22 11:34:00,19.0
DL487495,2025-02-01,1.0,1.0,,,0.3333333333333333,2025-02-22 11:35:00,25.5
KA034812,2025-02-01,1.0,,,,0.5,2025-02-22 11:36:00,45.0
TN001854,2025-02-01,,0.6666666666666666,,,0.5,2025-02-22 11:36:00,35.0
AP020109,2025-02-01,,0.3333333333333333,,0.3333333333333333,0.5,2025-02-22 11:38:00,25.5
WB024647,2025-02-01,1.0,,,,,2025-02-22 11:38:00,18.0
AS002574,2025-02-01,0.6,1.0,,,0.5,2025-02-22 11:40:00,50.5
BR028183,2025-02-01,0.8,1.0,,,,2025-02-22 11:42:00,4.0
KL034909,2025-02-01,0.3333333333333333,0.5,,,1.0,2025-02-22 11:42:00,63.0
MH098301,2025-02-01,0.6666666666666666,1.0,,,,2025-02-22 11:43:00,15.5
