UIN,award_name,awarded_by,award_year,award_country,award_level,award_source_url_1,award_source_url_2,award_source_url_3,award_processed_timestamp,award_inserted_timestamp,award_updated_timestamp,award_processed_date,award_inserted_date,award_updated_date,award_delete_flag_timestamp,award_processed_date timestamp,award_inserted_date timestamp
DL008731,Best Research Paper Award,Indian Journal of Endocrinology and Metabolism,2017,India,National,https://www.practo.com/delhi/doctor/vineet-kumar-surana-endocrinologist,,,12:42,12:42,,2025-04-16,2025-04-16,,,2025-04-16 12:42:50,2025-04-16 12:42:50
DL008731,AV Gandhi Award for Excellence in Endocrinology,,2014,India,National,https://www.practo.com/delhi/doctor/vineet-kumar-surana-endocrinologist,,,12:42,12:42,,2025-04-16,2025-04-16,,,2025-04-16 12:42:50,2025-04-16 12:42:50
DL008836,Anil Seth Award for Best Clinical Research in Endocrinology,Endocrine Society of India,2016,India,National,https://www.practo.com/delhi/doctor/dr-prof-deep-dutta,,,17:19,17:19,,2025-04-15,2025-04-15,,,2025-04-15 17:19:52,2025-04-15 17:19:52
DL008836,Novartis Young Investigator Award for best clinical research in diabetes prevention in India,Research Society for the Study of Diabetes in India,2016,India,National,https://www.practo.com/delhi/doctor/dr-prof-deep-dutta,,,17:19,17:19,,2025-04-15,2025-04-15,,,2025-04-15 17:19:52,2025-04-15 17:19:52
DL008836,Gold Medal Award,Indian Society of Hypertension,2015,India,National,https://www.practo.com/delhi/doctor/dr-prof-deep-dutta,,,17:19,17:19,,2025-04-15,2025-04-15,,,2025-04-15 17:19:52,2025-04-15 17:19:52
DL008836,AV Gandhi award,,2014,India,National,https://www.practo.com/delhi/doctor/dr-prof-deep-dutta,,,17:19,17:19,,2025-04-15,2025-04-15,,,2025-04-15 17:19:52,2025-04-15 17:19:52
DL008836,Received Endocrine Trainee Day Award,George R Brown Center Houston,2012,United States,National,https://www.practo.com/delhi/doctor/dr-prof-deep-dutta,,,17:19,17:19,,2025-04-15,2025-04-15,,,2025-04-15 17:19:52,2025-04-15 17:19:52
DL008973,Dr. Anil R Sheth Award for best young Researcher in the field of Clinical Endocrinology in India,Endocrine Society of India,2021,India,National,http://endocrinologistdelhi.in/about.aspx,,,9:21,9:21,,2025-06-10,2025-06-10,,,2025-06-10 09:21:13,2025-06-10 09:21:13
DL008973,Times Healthcare Achievers Award for Best Endocrinologist in Delhi/NCR,,2018,India,National,http://endocrinologistdelhi.in/about.aspx,,,9:21,9:21,,2025-06-10,2025-06-10,,,2025-06-10 09:21:13,2025-06-10 09:21:13
DL008973,Dr. MMS Ahuja Book Prize Award for Best DM Endocrinology candidate,All India Institute of Medical Sciences,2012,India,National,http://endocrinologistdelhi.in/about.aspx,,,9:21,9:21,,2025-06-10,2025-06-10,,,2025-06-10 09:21:13,2025-06-10 09:21:13
DL008973,1st Prize in Torrent Young Scholar Award Endocrinology,,2011,India,National,https://www.practo.com/delhi/doctor/dr-deepak-khandelwal-physiotherapist,,,9:46,9:46,,2025-04-19,2025-04-19,,,2025-04-19 09:46:03,2025-04-19 09:46:03
DL008973,Osler Award for Best Oral Paper Presentation,40th Endocrine Society of India Conference,,India,National,https://www.practo.com/delhi/doctor/dr-deepak-khandelwal-physiotherapist,,,9:46,9:46,,2025-04-19,2025-04-19,,,2025-04-19 09:46:03,2025-04-19 09:46:03
DL008973,1st and 2nd Prize in Award for Excellence in Endocrine Writing,,,India,National,https://www.practo.com/delhi/doctor/dr-deepak-khandelwal-physiotherapist,,,9:46,9:46,,2025-04-19,2025-04-19,,,2025-04-19 09:46:03,2025-04-19 09:46:03
DL008973,2nd Prize in Award for Excellence in Endocrine Writing,,,India,National,https://www.practo.com/delhi/doctor/dr-deepak-khandelwal-physiotherapist,,,9:46,9:46,,2025-04-19,2025-04-19,,,2025-04-19 09:46:03,2025-04-19 09:46:03
DL009112,Research Award,Karol Bagh Medical Society,,India,National,https://www.practo.com/delhi/doctor/dr-rajinder-kumar-singal-internal-medicine,,,15:49,15:49,,2025-04-16,2025-04-16,,,2025-04-16 15:49:43,2025-04-16 15:49:43
DL009112,Dr D C Bhutani Award,,,India,National,https://www.practo.com/delhi/doctor/dr-rajinder-kumar-singal-internal-medicine,,,15:49,15:49,,2025-04-16,2025-04-16,,,2025-04-16 15:49:43,2025-04-16 15:49:43
DL009112,IMAAMS Dr S P Aggarwal Memorial Award,,,India,National,https://www.practo.com/delhi/doctor/dr-rajinder-kumar-singal-internal-medicine,,,15:49,15:49,,2025-04-16,2025-04-16,,,2025-04-16 15:49:43,2025-04-16 15:49:43
DL009433,Annual Symposium of American Academy of Medical Acupuncture,,2011,India,National,https://www.practo.com/delhi/doctor/dr-manish-gupta-acupuncturist,,,18:51,18:51,,2025-06-12,2025-06-12,,,2025-06-12 18:51:22,2025-06-12 18:51:22
DL009433,Gold Medal,,2010,India,National,https://www.practo.com/delhi/doctor/dr-manish-gupta-acupuncturist,,,18:51:22,18:51:22,,2025-06-12,2025-06-12,,,2025-06-12 18:51:22,2025-06-12 18:51:22
DL009433,Annual Acupuncture Association of India Conference,,2010,India,National,https://www.practo.com/delhi/doctor/dr-manish-gupta-acupuncturist,,,18:51,18:51,,2025-06-12,2025-06-12,,,2025-06-12 18:51:22,2025-06-12 18:51:22
DL009433,Various Workshops and conferences attended in field of Diabetes and Medicine like Workshop,Indian Society of Critical Care Medicine,2008,India,National,https://www.practo.com/delhi/doctor/dr-manish-gupta-acupuncturist,,,18:51,18:51,,2025-06-12,2025-06-12,,,2025-06-12 18:51:22,2025-06-12 18:51:22
DL009592,"Speaker at Various National and International Meetings Chaired Session at Various National / International Symposium Organized Several Seminars, Clinical Meetings in the Field of Disaster and Metabolic Syndrome",,,India,National,https://www.practo.com/delhi/doctor/dr-rakesh-gupta-physiotherapist-internal-medicine,,,12:37,12:37,,2025-04-25,2025-04-25,,,2025-04-25 12:37:01,2025-04-25 12:37:01
DL010387,Received many awards from Indian medical Association and various other professional bodies,,,India,National,https://www.practo.com/delhi/doctor/dr-s-k-mundhra-diabetologist,,,14:22,14:22,,2025-04-23,2025-04-23,,,2025-04-23 14:22:09,2025-04-23 14:22:09
DL010511,Fellowship of International Medical Sciences Academy,,2004,India,National,https://www.practo.com/delhi/doctor/dr-mukesh-ajmera-cardiologist-2/stories?fingerprint=aa8e3364-1283-4349-9f1a-21212427bbb3&from_amp=true,,,11:24,11:24,,2025-04-24,2025-04-24,,,2025-04-24 11:24:35,2025-04-24 11:24:35
DL011802,Gold Medal,University of Delhi,1999,India,National,https://www.practo.com/delhi/doctor/vineetmalik52-gmail-com-cardiologist,,,17:05,17:05,,2025-06-11,2025-06-11,,,2025-06-11 17:05:38,2025-06-11 17:05:38
DL012278,Padma Shree Award,,2004,India,National,https://www.practo.com/delhi/doctor/dr-s-c-manchanda-cardiologist,,,17:02,17:02,,2025-06-11,2025-06-11,,,2025-06-11 17:02:55,2025-06-11 17:02:55
DL012384,AV Gandhi award,Endocrine Society of India,2017,India,National,"https://www.practo.com/delhi/doctor/himika-chawla-endocrinologist#:~:text=Council%20verified%20practitioner-,Dr.,PSRI%20hospital%20in%20South%20Delhi.",,,17:33,17:33,,2025-04-23,2025-04-23,,,2025-04-23 17:33:30,2025-04-23 17:33:30
DL012384,DR MMS Ahuja Award for Best DM student in Endocrinology,All India Institute Of Medical Sciences Delhi,2016,India,National,"https://www.practo.com/delhi/doctor/himika-chawla-endocrinologist#:~:text=Council%20verified%20practitioner-,Dr.,PSRI%20hospital%20in%20South%20Delhi.",,,17:33,17:33,,2025-04-23,2025-04-23,,,2025-04-23 17:33:30,2025-04-23 17:33:30
DL012384,Young Researcher Award,Novo Nordisk,2015,United States,International,"https://www.practo.com/delhi/doctor/himika-chawla-endocrinologist#:~:text=Council%20verified%20practitioner-,Dr.,PSRI%20hospital%20in%20South%20Delhi.",,,17:33,17:33,,2025-04-23,2025-04-23,,,2025-04-23 17:33:30,2025-04-23 17:33:30
DL018402,Best Resident Award,,2015,India,National,https://www.practo.com/delhi/doctor/dr-utsav-1-general-physician?practice_id=1156822&specialization=Body%20Weakness&referrer=doctor_listing&category_name=symptom&category_id=1088,,,10:27,10:27,,2025-04-27,2025-04-27,,,2025-04-27 10:27:57,2025-04-27 10:27:57
DL018402,Best Oral Paper Presentation at National Conference of Clinical Medicine,,2013,India,National,https://www.practo.com/delhi/doctor/dr-utsav-1-general-physician?practice_id=1156822&specialization=Body%20Weakness&referrer=doctor_listing&category_name=symptom&category_id=1088,,,10:27,10:27,,2025-04-27,2025-04-27,,,2025-04-27 10:27:57,2025-04-27 10:27:57
DL018402,Gold Medallist and Distinction in All Subjects in MBBS,,2011,India,National,https://www.practo.com/delhi/doctor/dr-utsav-1-general-physician?practice_id=1156822&specialization=Body%20Weakness&referrer=doctor_listing&category_name=symptom&category_id=1088,,,10:27,10:27,,2025-04-27,2025-04-27,,,2025-04-27 10:27:57,2025-04-27 10:27:57
