Client Doctor Code,Campaign Start Date (Month Year),HCP Email Open Rate,HCP WhatsApp Read Rate,HCP Email Click Rate,HCP WhatsApp Click Rate,HCP Call Productive Rate,Last Call Connected Date (Selected Month),Average Duration Connected Calls
AP019107,"February, 2025",100.00%,,,,,,
AP019138,"February, 2025",,66.67%,,,,,
AP019259,"February, 2025",100.00%,,,,,,
AP019262,"February, 2025",100.00%,100.00%,,,,,
AP019339,"February, 2025",,100.00%,,,,,
AP019341,"February, 2025",,25.00%,,,,,
AP019375,"February, 2025",100.00%,100.00%,,,,,
AP019385,"February, 2025",100.00%,100.00%,,,,,
AP019396,"February, 2025",100.00%,100.00%,,,,,
AP019403,"February, 2025",60.00%,,,,,,
AP019448,"February, 2025",,100.00%,,,,,
AP019486,"February, 2025",100.00%,100.00%,,,,,
AP019551,"February, 2025",60.00%,,,,,,
AP019580,"February, 2025",,100.00%,,,,,
AP019582,"February, 2025",100.00%,,,,,,
AP019603,"February, 2025",,100.00%,,25.00%,,,
AP019604,"February, 2025",100.00%,100.00%,,,,,
AP019623,"February, 2025",100.00%,,,,,,
AP019664,"February, 2025",,100.00%,,,,,
AP019670,"February, 2025",,100.00%,,,,,
AP019694,"February, 2025",,25.00%,,,,,
AP019718,"February, 2025",100.00%,100.00%,,,,,
AP019740,"February, 2025",,100.00%,,,,,
AP019741,"February, 2025",,100.00%,,,,,
AP019743,"February, 2025",100.00%,,,,,,
AP019772,"February, 2025",,100.00%,,,,,
AP019791,"February, 2025",100.00%,100.00%,,33.33%,,,
AP019802,"February, 2025",,75.00%,,,,,
AP019817,"February, 2025",,100.00%,,,,,
AP019842,"February, 2025",80.00%,,,,,,
AP019853,"February, 2025",,100.00%,,,,,
AP019860,"February, 2025",,66.67%,,,,,
AP019868,"February, 2025",100.00%,,,,,,
AP019932,"February, 2025",100.00%,,,,,,
AP019944,"February, 2025",100.00%,100.00%,,,,,
AP019957,"February, 2025",100.00%,,,,,,
AP019965,"February, 2025",,100.00%,,,,,
AP019988,"February, 2025",,50.00%,,,,,
AP020017,"February, 2025",,100.00%,,,,,
AP020058,"February, 2025",,100.00%,,,,,
AP020098,"February, 2025",,100.00%,,,,,
AP020130,"February, 2025",100.00%,100.00%,,,,,
AP020218,"February, 2025",,66.67%,,,,,
AP020268,"February, 2025",,33.33%,,,,,
AP020294,"February, 2025",,20.00%,,20.00%,,,
AP020298,"February, 2025",100.00%,,,,,,
AP020312,"February, 2025",80.00%,100.00%,,100.00%,,,
AP020314,"February, 2025",100.00%,,,,,,
AP020469,"February, 2025",100.00%,25.00%,,,,,
AP020471,"February, 2025",100.00%,,20.00%,,,,
AP020478,"February, 2025",100.00%,,,,,,
AP020530,"February, 2025",100.00%,100.00%,,,,,
AP020532,"February, 2025",100.00%,100.00%,,,,,
AP020574,"February, 2025",100.00%,,,,,,
AP020600,"February, 2025",60.00%,100.00%,,,,,
AP020603,"February, 2025",60.00%,100.00%,,,,,
AP020622,"February, 2025",40.00%,100.00%,,,,,
AP020653,"February, 2025",,100.00%,,,,,
AP020681,"February, 2025",,50.00%,,,,,
AP020684,"February, 2025",,100.00%,,,,,
AP020709,"February, 2025",60.00%,,,,,,
AP020738,"February, 2025",100.00%,,,,,,
AP020848,"February, 2025",80.00%,,,,,,
AP020883,"February, 2025",,100.00%,,,,,
AP020904,"February, 2025",100.00%,,,,,,
AP020963,"February, 2025",100.00%,100.00%,,,,,
AP021047,"February, 2025",100.00%,,,,,,
AP021066,"February, 2025",100.00%,,,,,,
AP021077,"February, 2025",100.00%,100.00%,,,,,
AP021081,"February, 2025",,66.67%,,,,,
AP021084,"February, 2025",60.00%,100.00%,,,,,
AP021281,"February, 2025",80.00%,100.00%,,,,,
AP021354,"February, 2025",,100.00%,,,,,
AP021358,"February, 2025",100.00%,,,,,,
AP021371,"February, 2025",,40.00%,,,,,
AP021533,"February, 2025",,100.00%,,,,,
AP021538,"February, 2025",,100.00%,,,,,
AP021626,"February, 2025",100.00%,,,,,,
AP021674,"February, 2025",60.00%,100.00%,,,,,
AP021680,"February, 2025",,100.00%,,25.00%,,,
AP021718,"February, 2025",,100.00%,,,,,
AP021776,"February, 2025",,75.00%,,,,,
AP021866,"February, 2025",80.00%,,,,,,
AP021895,"February, 2025",100.00%,,,,,,
AP021928,"February, 2025",80.00%,100.00%,,,,,
AP022016,"February, 2025",80.00%,100.00%,,16.67%,,,
AP022067,"February, 2025",100.00%,100.00%,,,,,
AP022078,"February, 2025",80.00%,,,,,,
AP022139,"February, 2025",,100.00%,,,,,
AP022141,"February, 2025",100.00%,,,,,,
AP022173,"February, 2025",,100.00%,,,,,
AP022192,"February, 2025",,100.00%,,,,,
AP022222,"February, 2025",40.00%,100.00%,,,,,
AP022288,"February, 2025",,66.67%,,,,,
AP022294,"February, 2025",100.00%,100.00%,,,,,
AP022344,"February, 2025",,50.00%,,,,,
AP022360,"February, 2025",,100.00%,,,,,
AP022384,"February, 2025",,66.67%,,,,,
AP022415,"February, 2025",100.00%,100.00%,,,,,
AP022438,"February, 2025",,100.00%,,,,,
AP022475,"February, 2025",,100.00%,,,,,
AP022489,"February, 2025",,100.00%,,,,,
AP022546,"February, 2025",,100.00%,,,,,
AP022581,"February, 2025",,100.00%,,,,,
AP022599,"February, 2025",60.00%,100.00%,,,,,
AP022712,"February, 2025",100.00%,,,,,,
AP022744,"February, 2025",100.00%,,,,,,
