UIN,event_name,event_topic,event_keywords,event_type,event_role,event_start_date,event_end_date,event_other_participants,other_participants_role,event_sponsor,event_location,event_city,event_country,event_link,event_processed_timestamp,event_inserted_timestamp,event_updated_timestamp,event_processed_date,event_inserted_date,event_updated_date,event_delete_flag_timestamp,event_processed_date timestamp,event_inserted_date timestamp
MH034585,2023 Complex High-Risk Interventional Procedures - Chronic Total Occlusion Scientific Program,Novel Approach to treat ISR : Case Based Study (10 min Presentation + 5 min Discussion & Audience Interaction),Chronic Total Occlusion,Meeting,Speaker,2023-01-27,2023-01-29,,,Indian Foundation of Advanced Cardiovascular Interventions,Hotel Pullman,New Delhi,India,https://www.chipctoindia.com/assets/img/Scientific%20Program%20Digital%20V1.pdf,10:07,10:07,,2025-04-26,2025-04-26,,,2025-04-26 10:07:33,2025-04-26 10:07:33
MH035120,2024 World Congress on Prevention of Diabetes and Its Complications,The 1 - Hour Plasma Glucose Concept,Diabetes,Congress,Chair,2024-08-30,2024-09-01,,,Diabetes Research & Solutions,The Westin Mumbai Powai Lake,Mumbai,India,https://links.medtalks.in/assets/pdf/DRS-WCPD-Scientific-Agenda.pdf,17:55,17:55,,2025-04-16,2025-04-16,,,2025-04-16 17:55:17,2025-04-16 17:55:17
MH035120,2024 World Congress on Prevention of Diabetes and Its Complications,Master Class on Insulin,Insulin,Congress,Chair,2024-08-30,2024-09-01,,,Diabetes Research & Solutions,The Westin Mumbai Powai Lake,Mumbai,India,https://links.medtalks.in/assets/pdf/DRS-WCPD-Scientific-Agenda.pdf,17:55,17:55,,2025-04-16,2025-04-16,,,2025-04-16 17:55:17,2025-04-16 17:55:17
MH035120,2024 World Congress on Prevention of Diabetes and Its Complications,Harnessing the Clinical Trials and Real-world Evidence with Oral Semaglutide,Diabetes,Congress,Speaker,2024-08-30,2024-09-01,,,Diabetes Research & Solutions,The Westin Mumbai Powai Lake,Mumbai,India,https://links.medtalks.in/assets/pdf/DRS-WCPD-Scientific-Agenda.pdf,17:55,17:55,,2025-04-16,2025-04-16,,,2025-04-16 17:55:17,2025-04-16 17:55:17
MH035120,2020 Research Society for the Study of Diabetes in India Annual Virtual Meeting,Life Expectancy in Diabetes - What Do The Data Reveal?,Diabetes,Meeting,Speaker,2020-11-26,2020-11-29,,,Research Society for the Study of Diabetes in India,,,,https://rssdi.in/branch/eventcms/website1/pdf/RSSDI_2020_Scientific_Agenda.pdf,17:55,17:55,,2025-04-16,2025-04-16,,,2025-04-16 17:55:17,2025-04-16 17:55:17
MH035120,2024 International Diabetes Experts Consortium,Precision medicine in diabetes - are we there yet?,Diabetes,Meeting,Speaker,2024-07-05,2024-07-07,,,"International Diabetes Experts Consortium, Emory University",J W Mariott,Pune,India,https://idecpune.com/idec2024/IDEC%202024%20Brochure%20(V14).pdf,17:55,17:55,,2025-04-16,2025-04-16,,,2025-04-16 17:55:17,2025-04-16 17:55:17
MH035120,2024 International Diabetes Experts Consortium,Special Lecture Series 8,Diabetes,Meeting,Co-Chair,2024-07-05,2024-07-07,"Manoj Chawala, N K Singh","Chair, Co-Chair","International Diabetes Experts Consortium, Emory University",J W Mariott,Pune,India,https://idecpune.com/idec2024/IDEC%202024%20Brochure%20(V14).pdf,17:55,17:55,,2025-04-16,2025-04-16,,,2025-04-16 17:55:17,2025-04-16 17:55:17
MH035120,2021 Annual Hybrid Meeting of the IM-American College of Physicians India,"Primary Health care in Japan : Challenges of Superaged society, Social distance & Poverty",Health Care,Meeting,Chair,2021-12-10,2021-12-12,Shalini Jaggi,Co-Chair,American College of Physicians,Hotel Hyatt Centric,Candolim,India,https://www.acponline.org/sites/default/files/documents/about_acp/international/chapters/ind_annual_meeting_agenda.pdf,17:55,17:55,,2025-04-16,2025-04-16,,,2025-04-16 17:55:17,2025-04-16 17:55:17
MH035120,2024 Annual Conference of Research Society for the Study of Diabetes in India and International Diabetes Federation Southeast Asia Region Diabetes Congress,Relevance of  Biothesiometer and Hot-cold testing,Diabetes,Conference,Speaker,2024-11-14,2024-11-17,,,Research Society for the Study of Diabetes in India,Yashobhoomi,Dwarka,India,https://rssdi.in/newwebsite/pdfdata/RSSDI-2024-Scientific-Program.pdf,17:55,17:55,,2025-04-16,2025-04-16,,,2025-04-16 17:55:17,2025-04-16 17:55:17
MH035120,2025 Cardiac Imaging & Clinical Cardiology World Congress,"Pre-diabetes: Diagnosis, Management and Reversal",Diabetes,Congress,Speaker,2025-09-15,2025-09-15,,,,Hotel Lalit Residency,Mumbai,India,https://www.scribd.com/document/848479090/WCCICC-Certification-Course-1,17:55,17:55,,2025-04-16,2025-04-16,,,2025-04-16 17:55:17,2025-04-16 17:55:17
