UIN,acd_institute_name,acd_institute_type,acd_department,acd_position,acd_city,acd_state,acd_country,acd_postal_code,acd_tenure_from_date,acd_tenure_to_date,acd_association_type,acd_source_url1,acd_source_url2,acd_source_url3,acd_processed_timestamp,acd_inserted_timestamp,acd_updated_timestamp,acd_processed_date,acd_inserted_date,acd_updated_date,acd_delete_flag_timestamp,acd_processed_date timestamp,acd_inserted_date timestamp,,,,
DL008836,Post Graduate Institute of Medical Education & Research,Academic,,Professor,New Delhi,New Delhi,India,110001,2013,2016,National,https://www.practo.com/delhi/doctor/dr-prof-deep-dutta,,,17:19,17:19,,15/04/2025,15/04/2025,,,15/04/2025 17:19,15/04/2025 17:19,,,,
DL008836,Dr. Ram Manohar Lohia Hospital,Hospital,Department of Endocrinology,Senior Consultant,New Delhi,Delhi,India,110001,2013,2016,National,https://www.linkedin.com/in/deep-dutta-2a886657/?originalSubdomain=in,,,18:56:47,18:56:47,,13/06/2025,13/06/2025,,,13/06/2025 18:56,13/06/2025 18:56,,,,
DL008973,Maharaja Agrasen Hospital,Hospital,,Senior Consultant,New Delhi,Delhi,India,110026,2012,2021,National,http://endocrinologistdelhi.in/about.aspx,,,9:25:13,9:25:13,,10/06/2025,10/06/2025,,,10/06/2025 9:25,10/06/2025 9:25,,,,
DL008973,Maharaja Agrasen Hospital,Hospital,Department of Endocrinology & Diabetes,Head,New Delhi,Delhi,India,110026,2012,2021,National,http://endocrinologistdelhi.in/about.aspx,,,9:25,9:25,,10/06/2025,10/06/2025,,,10/06/2025 9:25,10/06/2025 9:25,,,,
DL008973,"Metro Hospital, Faridabad",Hospital,Department of Endocrinology & Diabetes,Consultant,Faridabad,Haryana,India,121002,2012,2012,National,http://endocrinologistdelhi.in/about.aspx,,,9:25,9:25,,10/06/2025,10/06/2025,,,10/06/2025 9:25,10/06/2025 9:25,,,,
DL008973,Jaipur Golden Hospital,Hospital,,Visiting Senior Consultant,Rohini,Delhi,India,110085,,,National,http://endocrinologistdelhi.in/about.aspx,,,9:25,9:25,,10/06/2025,10/06/2025,,,10/06/2025 9:25,10/06/2025 9:25,,,,
DL008973,Jaipur Golden Hospital,Hospital,,Endocrinologist,Rohini,Delhi,India,110085,,,National,http://endocrinologistdelhi.in/about.aspx,,,9:25,9:25,,10/06/2025,10/06/2025,,,10/06/2025 9:25,10/06/2025 9:25,,,,
DL008973,Jaipur Golden Hospital,Hospital,,Diabetologist,Rohini,Delhi,India,110085,,,National,http://endocrinologistdelhi.in/about.aspx,,,9:25:13,9:25:13,,10/06/2025,10/06/2025,,,10/06/2025 9:25,10/06/2025 9:25,,,,
DL008973,Max Hospital,Hospital,Department of Endocrinology & Diabetes,Visiting Consultant,New Delhi,Delhi,India,110088,,,National,http://endocrinologistdelhi.in/about.aspx,,,9:25:13,9:25:13,,10/06/2025,10/06/2025,,,10/06/2025 9:25,10/06/2025 9:25,,,,
DL009006,Maharaja Agrasen Hospital,Hospital,,Chief Cardiac Surgeon,New Delhi,Delhi,India,110026,,,National,https://www.dranilagarwalclinic.com/website-doctor-profile/dr-anil-k-agarwal-dr-anil-k-agarwal-clinic-in-west-delhi?doctorId=444,,,12:42,12:42,,14/06/2025,14/06/2025,,,14/06/2025 12:42,14/06/2025 12:42,,,,
DL009006,Maharaja Agrasen Hospital,Hospital,Department of CVTS,Head,New Delhi,Delhi,India,110026,,,National,https://www.dranilagarwalclinic.com/website-doctor-profile/dr-anil-k-agarwal-dr-anil-k-agarwal-clinic-in-west-delhi?doctorId=444,,,12:42:08,12:42:08,,14/06/2025,14/06/2025,,,14/06/2025 12:42,14/06/2025 12:42,,,,
DL009006,Escorts Heart Centre & Research Institute,Hospital,,Consultant Cardiac Surgeon,New Delhi,Delhi,India,110049,,,National,https://www.dranilagarwalclinic.com/website-doctor-profile/dr-anil-k-agarwal-dr-anil-k-agarwal-clinic-in-west-delhi?doctorId=444,,,12:42,12:42,,14/06/2025,14/06/2025,,,14/06/2025 12:42,14/06/2025 12:42,,,,
DL011033,Fortis Escorts Heart Institute,Academic,Cardiology,Cardiologist,New Delhi,Delhi,India,110049,1995,2025,National,https://www.linkedin.com/in/sameer-shrivastava-a506ab61/,,,17:45:09,17:45:09,,11/06/2025,11/06/2025,,,11/06/2025 17:45,11/06/2025 17:45,,,,
DL011389,Sir Ganga Ram Hospital,Hospital,Department of Internal Medicine,Junior Resident,New Delhi,Delhi ,India,110060,,,National,"https://www.practo.com/delhi/doctor/dr-prabhat-ranjan-general-physician#:~:text=MBBS-,Dr.,11%20years%20in%20this%20fields.",,,9:20,9:20,,10/06/2025,10/06/2025,,,10/06/2025 9:20,10/06/2025 9:20,,,,
DL011389,Deen Dayal Upadhaya Hospital,Hospital,Department of Internal Medicine,Senior Resident,New Delhi,Delhi ,India,110064,,,National,"https://www.practo.com/delhi/doctor/dr-prabhat-ranjan-general-physician#:~:text=MBBS-,Dr.,11%20years%20in%20this%20fields.",,,9:20,9:20,,10/06/2025,10/06/2025,,,10/06/2025 9:20,10/06/2025 9:20,,,,
